Link Dokumen,Wilayah,Tahun,Jenis Dokumen,Kerja Sama
https://drive.google.com/file/d/1aYNTq0santcDbpqAYqs8v3uZChPtKY-9/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1bBbKzrCbIRSMeeXmqnwzFAdKR5_7Uqv2/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1a24ncAC-xcVlwon1IuIZhCtXs9gNfwX4/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1bBElaTqbYHf0arU9HI_yPomKfgCET-DL/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1aM-tTP2_128P2zQ_lJUXZJsLL-BKcBwx/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1a1mC0sCaDAWoFCMyjJhpIK6xdeVSJZsH/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1aVZpwhditXzvxCk8R8AKR0Yx_-BQMOLe/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1_xCWzoZdJeT1y-c2XD1y7gYAzfVONhJq/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1_tlE2iefTTvwz-86vEB1BjKFxPITifIw/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1aUf2b5O6zxEehiSCHls2oEWX4LDgYLTp/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1aROBUJKAdaXRy93UBmn1dgxU7pIrEEoa/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1aLf7cC6DM1Is-9H0VAQBoiL-UG-lrUOw/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1bAYHVI2tgvwcM471MBf3WegLNULd8XGH/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1b9cy1KmigfyOSAbEyuIjPwpB0a6uO8iT/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1ayS9byMehTES35SvNlzmIpA3hfleMjOc/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1b7cLs7DECoVF4X28QdGnTlCfD7pvUCdF/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1Upnhvoh89qIWMXtFdscPaSV-WkT2GFk5/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1aMjp8c48bEm7vqOfCgmfH84N74iQWSSO/view?usp=sharing,NASIONAL,2022,MOU,
https://drive.google.com/file/d/1awvnPhDSRTd-15NATS1r8BVP11X2awlO/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1SjwhEmdSOVCJKzN101GbPXgd8a5hhDun/view?usp=drive_link,LOKAL,2022,MOU,
https://drive.google.com/file/d/1SkcprOOju13hsMkQ1ERR_kBR03b6aXHY/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1oEsmrYhiEYIgAAj7wx6B71MpLb4_pq_h/view?usp=sharing,LOKAL,2022,MOU,
https://drive.google.com/file/d/1aI7uee0pO5MrCfTAHx4zKZb4bDPoUznN/view?usp=sharing,INTERNASIONAL,2022,PKS,Pertukaran Mahasiswa
https://drive.google.com/file/d/1aLKiZdIZCEgIy7n-nZTRFlbtJpb1lAlB/view?usp=sharing,INTERNASIONAL,2022,PKS,Pertukaran Mahasiswa
https://drive.google.com/file/d/1aBl-jrFu3Vq-706xFGKvMu7Il4i0CuLG/view?usp=sharing,LOKAL,2022,PKS,Pengembangan Kurikulum/Program Bersama
https://drive.google.com/file/d/1aAEOGYX-8DuIidi2W64QGWLM2qtLh9L3/view?usp=sharing,LOKAL,2022,PKS,Pengabdian Kepada Masyarakat
https://drive.google.com/file/d/1_snNcqEqgLrNQ_tH70bmQ3jgVOOYDRRf/view?usp=sharing,LOKAL,2022,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1_qIfhQXaUQbvbcT9D6sYWW7-Triz_HlJ/view?usp=sharing,LOKAL,2022,PKS,Pelatihan
https://drive.google.com/file/d/1_pqWIIaQxVGJC0IcF3CO_AgKTtuLu_3B/view?usp=sharing,LOKAL,2022,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1_pYf_hyR1N1pREk4MrrnAOqhpVTGadnX/view?usp=sharing,LOKAL,2022,PKS,Pelatihan
https://drive.google.com/file/d/1_pHJes6SaCX0pb6XBSdR53JqGnRREk0R/view?usp=sharing,LOKAL,2022,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1_oj5aILBE63kdhsTdOPeqFA6j2GbIYXR/view?usp=sharing,LOKAL,2022,PKS,Pelatihan
https://drive.google.com/file/d/1_noln7xTygoc5bwv4ffnzMSxRf5Cknse/view?usp=sharing,LOKAL,2022,PKS,Magang/ Praktik Kerja-Kampus Merdeka
https://drive.google.com/file/d/1_mChTk6bRm-SmqlCUXHY8RcicaS1shRY/view?usp=sharing,LOKAL,2022,PKS,Pelatihan
https://drive.google.com/file/d/1aqnbQUBQ7VyZWYPNMZI213crUSGfPXJY/view?usp=sharing,NASIONAL,2022,PKS,Pelatihan
https://drive.google.com/file/d/1acd1QMN12Vdb2vfhOYc2mWY9Jz2URbaW/view?usp=sharing,NASIONAL,2022,PKS,Penelitian/Riset-Kampus Merdeka
https://drive.google.com/file/d/1acHuxF72XEnk1pGMbY5hXleswgHe0R_J/view?usp=sharing,NASIONAL,2022,PKS,Pengabdian Kepada Masyarakat
https://drive.google.com/file/d/1aYuGRPrKVoT47gNLnbVv3-Ob44VUHJSR/view?usp=sharing,NASIONAL,2022,PKS,Pertukaran Dosen
https://drive.google.com/file/d/1aYrbRinBNm-P2lKRp41HaLXtBE_b7sVI/view?usp=sharing,NASIONAL,2022,PKS,Pertukaran Pelajar-Kampus Merdeka
https://drive.google.com/file/d/1aY_vMDaffvVb6OsT2KHabvizUvEe7S-T/view?usp=sharing,NASIONAL,2022,PKS,Penerbitan Berkala Ilmiah
