nomor_dokumen,tanggal_penetapan,link_dokumen,tanggal_pengajuan,tentang,nama_mitra
429/PL16/KB/2013,19-12-2013,https://drive.google.com/file/d/1cRaxU66ubTjonNoPHwa_xTInITmCAXsu/view?usp=sharing,19-12-2013,Dukungan Penyelenggaraan Program Studi di Luar Domisili (PDD) di Kota Singkawang,PT. BANK NEGERA INDONESIA CABANG SINGKAWANG
430/PL16/KB/2013,19-12-2013,https://drive.google.com/file/d/1cunhH_hFqSvv_Jj1mHbfeSk6aRW9Y3Z2/view?usp=sharing,19-12-2013,Dukungan Penyelenggaraan Program Studi di Luar Domisili (PDD) di Kota Singkawang,PT. SINKA SINYE AGROTAMA
431/PL16/KB/2015,11-05-2015,https://drive.google.com/file/d/1d0hoUCvq9EHwlfd5fggbM0Ww3FiM1-SV/view?usp=sharing,11-05-2015,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,PEMERINTAH KABUPATEN SAMBAS
441/PL16/KB/2015,15-05-2015,https://drive.google.com/file/d/1d48V5GW0nXpirw5ypg7M6b90mzQFZb6Q/view?usp=sharing,15-05-2015,Pembentukan Program Studi di Luar Domisili Politeknik Negeri Pontianak di Kabupaten Kapuas Hulu,PEMERINTAH KABUPATEN KAPUAS HULU
500/PL16/KB/2015,03-06-2015,https://drive.google.com/file/d/1dK6BKMU--1eElRP_f8KtSopwIR9EsX6K/view?usp=sharing,03-06-2015,Perjanjian Hibah Daerah dalam Bentuk Uang,PEMERINTAH KABUPATEN KAPUAS HULU
546/PL16/KB/2015,16-06-2015,https://drive.google.com/file/d/1d5Qjcq5TLTm0luhTJOgWZaXiQkfTiZJL/view?usp=sharing,16-06-2015,"Peran Serta Peserta Didik, Pendidik dan Tenaga Kependidikan dalam Gerakan Penanaman Pohon",DIREKTUR JENDERAL PENGENDALIAN DAERAH ALIRAN SUNGAI DAN HUTAN LINDUNG KEMENTERIAN LINGKUNGAN HIDUP DAN KEHUTANAN
586/PL16/KB/2014,25-08-2014,https://drive.google.com/file/d/1cUsj_-4c148wGYEDSvoH7QTgu6di0dQJ/view?usp=sharing,25-08-2014,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,PT. BANK PEMBANGUNAN DAERAH KALIMANTAN BARAT
0640/PL16/KB/2014,09-09-2014,https://drive.google.com/file/d/1cki0sPv-8mBiL7h5v4lk5N3SvdRuBJjb/view?usp=sharing,09-09-2014,Penerimaan Setoran Mahasiswa dan Pembuatan Kartu Mahasiswa Politeknik Negeri Pontianak,PT. BANK PEMBANGUNAN DAERAH KALIMANTAN BARAT
0711/PL16/KB/2016,14-03-2016,https://drive.google.com/file/d/1dJePif4xWqDgnwz513oc65hTXpIFeYXf/view?usp=sharing,14-03-2016,Perjanjian Hibah Daerah dalam Bentuk Uang,PEMERINTAH KABUPATEN KAPUAS HULU
727/PL16/KB/2015,10-08-2015,https://drive.google.com/file/d/1dAp5G5phFlxSY2W8EJ-LNod5M4LM6zSk/view?usp=sharing,10-08-2015,Kerja Sama Pendidikan,PEMERINTAH KABUPATEN SAMBAS
770/PL16/KB/2014,13-10-2014,https://drive.google.com/file/d/1cX6sZ3z-Cn4K7WZyOgeEavAB78-z__vh/view?usp=sharing,13-10-2014,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,PT. PROBESCO DISATAMA CABANG PONTIANAK
0852/PL16/KS/2015,19-03-2015,https://drive.google.com/file/d/1d1TjR4ydwwJwRtHRtkL4zj-GqJdTvaxu/view?usp=sharing,19-03-2015,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,PEMERINTAH KABUPATEN MEMPAWAH
1349/PL16/KB/2016,16-05-2016,https://drive.google.com/file/d/1cn1slVOI9CriGRU4UOVxpcPnsXcf00-Y/view?usp=sharing,16-05-2016,Penggunaan Laboratorium untuk Praktek Mahasiswa,KANTOR LINGKUNGAN HIDUP KABUPATEN KAPUAS HULU
1352/PL16/KB/2016,16-05-2016,https://drive.google.com/file/d/1clxsDJ_Q1TTjH9gVvT_MB1TTz8QrVxgA/view?usp=sharing,16-05-2016,Dukungan Praktek Lapangan antara PDD Politeknik Negeri Pontianak di Kabupaten Kapuas Hulu dengan Home Industri Kripik Yesha,HOME INDUSTRI KRIPIK YESHA
1404/PL16/KS/2012,26-04-2012,https://drive.google.com/file/d/1ce5Ia0d7sZ4p1idnh9AptOWcETksC_6S/view?usp=sharing,26-04-2012,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,HIMPUNAN PENGUSAHA MUDA INDONESIA
1481/PL16/KB/2016,27-05-2016,https://drive.google.com/file/d/1cWQNs1ZHINOAksUbkZJ0vgdeMPMCSGxM/view?usp=sharing,27-05-2016,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,HOME INDUSTRI MOCAF
1482/PL16/KB/2016,27-05-2016,https://drive.google.com/file/d/1cmRo1nB9xduMjBMp95LhghpZmYML3ka3/view?usp=sharing,27-05-2016,Praktek Lapangan PDD Politeknik Negeri Pontianak di Home Industri Mocaf,HOME INDUSTRI MOCAF
1873/PL16/KS/2013,20-06-2013,https://drive.google.com/file/d/1cyF04XheIxXlqJabSSudp4xHB0o0kagO/view?usp=sharing,20-06-2013,Pengelolaan Lahan Kebun,CV. PRIMA TEKNIK
2011/PL16/KB/2016,25-07-2016,https://drive.google.com/file/d/1d7-21x8Vq8HgUdNMIjuQ-D0QFx_WCGkQ/view?usp=sharing,25-07-2016,Pemanfaatan Bantuan Fasilitas Baca BI (BI Corner),BANK INDONESIA
2183/PL16/KB/2015,01-12-2015,https://drive.google.com/file/d/1ca803snJ2wNW7XoLEYCfn9ZAiQ1tYaaE/view?usp=sharing,01-12-2015,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,IKATAN AKUNTAN INDONESIA WILAYAH JAWA BARAT
2363/PL16/KB/2015,28-12-2015,https://drive.google.com/file/d/1ccF_D5xneau4FlecWO_4WG38d7AkXC7K/view?usp=sharing,28-12-2015,,INSTITUT AKUNTAN PUBLIK INDONESIA
2364/PL16/KB/2016,28-12-2015,https://drive.google.com/file/d/1cXn93cGpGU3_kf9xvQz9ft5iuyRdCKHJ/view?usp=sharing,28-12-2015,Pelaksanaan Ujian Sertifikasi Akuntan Publik / Certified Public Accountant (CPA),INSTITUT AKUNTAN PUBLIK INDONESIA
2383/PL16/KS/2012,27-07-2012,https://drive.google.com/file/d/1d3Wc6m4sLRbLmznr8JubwyqP5kLOP043/view?usp=sharing,27-07-2012,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,PEMERINTAH KABUPATEN KAPUAS HULU
3046/PL16/KS/2013,16-09-2013,https://drive.google.com/file/d/1cseStqpo4Y4PbwYo_qc5vkpMnj5Wml6U/view?usp=sharing,16-09-2013,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,INCASI RAYA GROUP
3181/PL16/KB/2016,14-09-2016,https://drive.google.com/file/d/1cqjdhwXmBLMMivtHjohxvMI3UDHYglq6/view?usp=sharing,14-09-2016,Pemasyarakatan dan Edukasi Pasar Modal,PT. BURSA EFEK INDONESIA
3181/PL16/KB/2016,14-09-2016,https://drive.google.com/file/d/1cqjdhwXmBLMMivtHjohxvMI3UDHYglq6/view?usp=sharing,14-09-2016,Pemasyarakatan dan Edukasi Pasar Modal,PT. BUMIPUTERA SEKURITAS
3251/PL16/KB/2016,23-09-2016,https://drive.google.com/file/d/1ctvsMBOIcYuy-hxSenGXZ_PDNqJ-MrWi/view?usp=sharing,23-09-2016,Dukungan Pengembangan dan Kerja Sama Masyarakat Terinstitusi,PT. SUMBER ALAM PONTIANAK
3278/PL16/KS/2014,23-09-2014,https://drive.google.com/file/d/1dHAeiXRrKGIOyfOUtxrISdAK0i2jUeiW/view?usp=sharing,23-09-2014,Pengembangan Alat Mesin Pertanian (Alsintan) Center untuk Mendukung Kawasan Usaha Agribisnis di Provinsi Kalimantan Barat,PEMERINTAH PROVINSI KALIMANTAN BARAT
3278/PL16/KS/2014,23-09-2014,https://drive.google.com/file/d/1dHAeiXRrKGIOyfOUtxrISdAK0i2jUeiW/view?usp=sharing,23-09-2014,Pengembangan Alat Mesin Pertanian (Alsintan) Center untuk Mendukung Kawasan Usaha Agribisnis di Provinsi Kalimantan Barat,KEMENTERIAN PERTANIAN REPUBLIK INDONESIA
