id,provinsi,kabupaten_kota
8yt948ok,Kalimantan Barat,Kubu Raya
oy90498r,Kalimantan Barat,Kota Pontianak
932wv61u,Kalimantan Barat,Kota Singkawang
x99f8ad1,Kalimantan Tengah,Kotawaringin Barat
bn526l4b,Kalimantan Tengah,Kotawaringin Timur
glf1egmx,Kalimantan Tengah,Kapuas
2f27z84g,Kalimantan Tengah,Barito Selatan
j26z2k87,Kalimantan Tengah,Barito Utara
xyiv847z,Kalimantan Tengah,Katingan
0w7tg1x9,Kalimantan Tengah,Seruyan
a0d3nup7,Kalimantan Tengah,Sukamara
3t7057h1,Kalimantan Tengah,Lamandau
m02q9ic1,Kalimantan Tengah,Pulang Pisau
5481d9t0,Kalimantan Tengah,Murung Raya
2vj8l28k,Kalimantan Tengah,Barito Timur
76mg58yf,Kalimantan Tengah,Kota Palangkaraya
2gz197f2,Kalimantan Selatan,Tanah Laut
424w963w,Kalimantan Selatan,Kotabaru
5rh8bz34,Kalimantan Selatan,Banjar
ym5649tm,Kalimantan Selatan,Barito Kuala
1enachu5,Kalimantan Selatan,Tapin
l1b2gi46,Kalimantan Selatan,Hulu Sungai Selatan
48tln4f6,Kalimantan Selatan,Hulu Sungai Tengah
ec2ow1dk,Kalimantan Selatan,Hulu Sungai Utara
2kel304s,Kalimantan Selatan,Tabalong
fh814o71,Kalimantan Selatan,Balangan
6r1fld78,Kalimantan Selatan,Kota Banjarmasin
19z8102c,Kalimantan Selatan,Kota Banjarbaru
25h5r9pw,Kalimantan Timur,Paser
o6bxw76l,Kalimantan Timur,Kutai Kartanegara
072k1255,Kalimantan Timur,Berau
808ou782,Kalimantan Timur,Kutai Barat
164yb7y7,Kalimantan Timur,Kutai Timur
ski4v272,Kalimantan Timur,Penajam Paser Utara
rs0f4pn4,Kalimantan Timur,Mahakam Ulu
3dr1nppd,Kalimantan Timur,Kota Balikpapan
3bi7142d,Kalimantan Timur,Kota Samarinda
t3kl4608,Kalimantan Timur,Kota Bontang
r80bd081,Kalimantan Utara,Bulungan
75vat52s,Kalimantan Utara,Malinau
8k752g00,Kalimantan Utara,Nunukan
3r77k8v5,Kalimantan Utara,Tana Tidung
568f84ay,Kalimantan Utara,Kota Tarakan
96n03248,Sulawesi Utara,Bolaang Mongondow
cbxi4u16,Sulawesi Utara,Minahasa
dwq0m34l,Sulawesi Utara,Kepulauan Sangihe
p5wv8i43,Sulawesi Utara,Kepulauan Talaud
l3pz1f0u,Sulawesi Utara,Minahasa Selatan
1j4981n2,Sulawesi Utara,Minahasa Utara
gy98icb2,Sulawesi Utara,Minahasa Tenggara
zdjbs2o1,Sulawesi Utara,Bolaang Mongondow Utara
utsszffj,Sulawesi Utara,Kepulauan Siau Tagulandang Biaro (Sitaro)
w480v333,Sulawesi Utara,Bolaang Mongondow Selatan
q0w5ln8k,Sulawesi Utara,Kota Manado
4sozw1f8,Sulawesi Utara,Kota Bitung
oi62vg90,Sulawesi Utara,Kota Tomohon
g0t7m8hd,Sulawesi Utara,Kota Kotamobagu
4cp19569,Sulawesi Tengah,Banggai
f95pq6qu,Sulawesi Tengah,Poso
b35ta6x1,Sulawesi Tengah,Donggala
oqz9bt2w,Sulawesi Tengah,Toli Toli
4p953327,Sulawesi Tengah,Buol
q4428n64,Sulawesi Tengah,Morowali
4385q0k5,Sulawesi Tengah,Banggai Kepulauan
hhh0404d,Sulawesi Tengah,Parigi Moutong
74249v9p,Sulawesi Tengah,Tojo Una Una
eq52w56b,Sulawesi Tengah,Banggai Laut
62i03wf4,Sulawesi Tengah,Morowali Utara
6wx1tj1q,Sulawesi Tengah,Kota Palu
ck595j13,Sulawesi Selatan,Kepulauan Selayar
8qeiq14p,Sulawesi Selatan,Bulukumba
ca6o624q,Sulawesi Selatan,Bantaeng
ro980pq2,Sulawesi Selatan,Jeneponto
j4nu9079,Sulawesi Selatan,Takalar
337aavoe,Sulawesi Selatan,Gowa
252l9m68,Sulawesi Selatan,Sinjai
tvuc2uuf,Sulawesi Selatan,Bone
y58w5365,Sulawesi Selatan,Maros
j5d25st1,Sulawesi Selatan,Pangkajene Kepulauan
4v662sqb,Sulawesi Selatan,Barru
b66ea42v,Sulawesi Selatan,Soppeng
12r4cqjg,Sulawesi Selatan,Wajo
hj97897j,Sulawesi Selatan,Sidenreng Rappang
5aq2w334,Sulawesi Selatan,Pinrang
